name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sumenep,1/18/2023,31.7,25.1,26.8,38.4,25.1,28.8,24,84.6,13.7,100,66.67,rain,0,0,28.1,23.7,286.8,1009.8,89.3,16.2,141.1,12.1,6,30,2023-01-18T05:20:39,2023-01-18T17:49:01,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96937099999,96973099999,remote"
sumenep,1/19/2023,30.9,24.9,27,36.9,24.9,29,23.9,83.7,22,100,4.17,rain,0,0,34.9,22.3,286.2,1009.5,93.7,16.9,109.6,9.3,5,30,2023-01-19T05:21:06,2023-01-19T17:49:13,0.91,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96937099999,96973099999,remote"
sumenep,1/20/2023,30.4,25.8,27.1,36.9,25.8,29.1,24.3,84.9,3.2,100,8.33,rain,0,0,22.3,13,262.7,1009.1,92.7,16.6,242,20.7,9,30,2023-01-20T05:21:31,2023-01-20T17:49:24,0.94,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96937099999,96973099999,remote"
sumenep,1/21/2023,30.4,24.9,27.2,37.2,24.9,29.2,24.1,84,0.1,100,4.17,rain,0,0,16.2,7.6,278.5,1008.1,85,16.2,253.8,22,9,30,2023-01-21T05:21:56,2023-01-21T17:49:34,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96937099999,96973099999,remote"
sumenep,1/22/2023,30.4,25.5,27.3,37.2,25.5,29.8,24.5,84.7,8,100,4.17,rain,0,0,20.9,13,268.8,1007.1,87,15.7,272.5,23.5,9,30,2023-01-22T05:22:21,2023-01-22T17:49:43,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96937099999,96973099999,remote"
sumenep,1/23/2023,32.1,25.3,27.6,39.3,25.3,30.5,24.4,83.3,18,100,12.5,rain,0,0,19.8,16.6,267.8,1006.4,84.6,16.4,227.7,19.7,9,30,2023-01-23T05:22:45,2023-01-23T17:49:51,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96937099999,96973099999,remote"
sumenep,1/24/2023,31.6,25.9,27.7,39.8,25.9,30.5,24.5,82.9,0.5,100,4.17,rain,0,0,20.9,12.2,284.5,1006.4,82.1,15.2,266.9,23.2,9,30,2023-01-24T05:23:08,2023-01-24T17:49:58,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96937099999,96973099999,remote"
sumenep,1/25/2023,31.2,25.2,27.2,37.6,25.2,29.2,24.5,85.8,30,100,8.33,rain,0,0,30.6,21.2,291.4,1006.7,94.1,15,227.3,19.6,8,30,2023-01-25T05:23:31,2023-01-25T17:50:04,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96937099999,96973099999,remote"
sumenep,1/26/2023,29,25.2,26.8,34.6,25.2,28.6,24.3,86.3,0.7,100,8.33,rain,0,0,24.5,14.4,278.9,1007,93.7,14.9,200.8,17.4,7,30,2023-01-26T05:23:53,2023-01-26T17:50:09,0.15,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"96937099999,96973099999,remote"
sumenep,1/27/2023,31,24.9,26.7,37.1,24.9,28.2,24,85.4,0.4,100,4.17,rain,0,0,29.5,20.5,278.9,1006.8,94.2,17.5,104.8,9,4,30,2023-01-27T05:24:15,2023-01-27T17:50:13,0.18,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"96937099999,96973099999,remote"
